participant,requirement_id,status,notes,evidence_json
P13,R5,pass,A source chip was inspected and the source relationship was understood.,"{""source_identified"": true, ""without_help"": false, ""writer_vs_system_distinguished"": true}"
P13,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true, ""no_auto_generation"": true}"
P13,R7,issue,Participant selected a subset and answered the selected-data comprehension check.,"{""predicted_correctly"": false, ""selected_count"": 1, ""selected_only_understood"": false, ""unselected_count"": 1}"
P13,R8,pass,Deletion was checked against the resulting stored state and participant prediction.,"{""critical_misunderstanding"": false, ""delete_independent"": true, ""predicted_correctly"": true}"
P13,R9,pass,Only visible tap/click-and-type controls were needed.,"{""age_45_plus"": true, ""completed"": true, ""tap_type_only"": true, ""without_help"": true}"
P13,R10,critical,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": true, ""notice_explained"": false, ""predicted_correctly"": true}"
P13,R11,not_tested,No privacy/domain reviewer present for this session.,{}
P13,R12,pass,A generated passage was edited and the edited journal was saved.,"{""completed"": true, ""edit_saved_matches"": true, ""without_help"": false}"
P13,R13,pass,Customization actions were observed before generation.,"{""custom_block_added"": true, ""question_edited"": true, ""reordered"": true, ""understood"": true}"
P13,R14,pass,Distinct save/export/save-nothing outcomes were observed across the guided tasks.,"{""export_understood"": true, ""predicted_correctly"": true, ""save_blocks_only_understood"": true, ""save_entry_understood"": true, ""save_nothing_understood"": true}"
P13,R15,issue,Connector dots are small on a tablet; dragged the block instead of the dot several times and gave up.,"{""connection_created"": false, ""connection_labeled"": false, ""without_help"": true}"
P13,R16,pass,Looked at the suggestions and dismissed them as not matching how they write.,"{""suggestion_accepted"": false, ""suggestion_rejected"": true, ""suggestion_requested"": true, ""suggestion_understood_optional"": true}"
P13,R17,issue,Pinch-zoom fought with page scroll on the tablet; needed the Fit control pointed out.,"{""block_found"": true, ""duration_ms"": 33200, ""without_help"": false}"
P13,R18,not_tested,Touch-only device; keyboard-only capture was not applicable.,{}
P14,R1,issue,Capture exceeded the five-second acceptance threshold.,"{""completed"": true, ""duration_ms"": 5600, ""error_count"": 0, ""help_count"": 0, ""without_help"": true}"
P14,R2,issue,Block dismissal was incomplete or the participant requested help.,"{""completed"": true, ""help_count"": 2, ""understood"": true, ""without_help"": false}"
P14,R3,pass,Starter preference was checked across two newly created reflections.,"{""persisted"": true, ""predicted_correctly"": true, ""second_session_checked"": true}"
P14,R4,pass,The prepared journal appeared only after the explicit generation action.,"{""completed"": true, ""no_auto_generation"": true, ""predicted_correctly"": false}"
P14,R5,pass,A source chip was inspected and the source relationship was understood.,"{""source_identified"": true, ""without_help"": false, ""writer_vs_system_distinguished"": true}"
P14,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true, ""no_auto_generation"": true}"
P14,R7,issue,Participant selected a subset and answered the selected-data comprehension check.,"{""predicted_correctly"": false, ""selected_count"": 2, ""selected_only_understood"": false, ""unselected_count"": 1}"
P14,R8,pass,Deletion was checked against the resulting stored state and participant prediction.,"{""critical_misunderstanding"": false, ""delete_independent"": true, ""predicted_correctly"": true}"
P14,R9,pass,Only visible tap/click-and-type controls were needed.,"{""age_45_plus"": false, ""completed"": true, ""tap_type_only"": true, ""without_help"": true}"
P14,R10,critical,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": true, ""notice_explained"": false, ""predicted_correctly"": false}"
P14,R11,not_tested,No privacy/domain reviewer present for this session.,{}
P14,R12,pass,A generated passage was edited and the edited journal was saved.,"{""completed"": true, ""edit_saved_matches"": true, ""without_help"": false}"
P14,R13,issue,Customization actions were observed before generation.,"{""custom_block_added"": false, ""question_edited"": true, ""reordered"": false, ""understood"": false}"
P14,R14,pass,Distinct save/export/save-nothing outcomes were observed across the guided tasks.,"{""export_understood"": true, ""predicted_correctly"": true, ""save_blocks_only_understood"": true, ""save_entry_understood"": true, ""save_nothing_understood"": true}"
P14,R15,critical,Connector dots are far below touch-target size on a phone; every drag panned the canvas instead. Could not create an arrow at all.,"{""connection_created"": false, ""connection_labeled"": false, ""without_help"": false}"
P14,R16,pass,Used suggestions comfortably; the panel is the most phone-friendly part of the workspace.,"{""suggestion_accepted"": true, ""suggestion_rejected"": true, ""suggestion_requested"": true, ""suggestion_understood_optional"": true}"
P14,R17,issue,Lost the block off-screen repeatedly; the zoom controls are hard to hit on a phone.,"{""block_found"": true, ""duration_ms"": 52800, ""without_help"": false}"
P14,R18,not_tested,Touch-only device; keyboard-only capture was not applicable.,{}
P15,R1,issue,Capture exceeded the five-second acceptance threshold.,"{""completed"": true, ""duration_ms"": 6100, ""error_count"": 0, ""help_count"": 0, ""without_help"": true}"
P15,R2,issue,Block dismissal was incomplete or the participant requested help.,"{""completed"": true, ""help_count"": 1, ""understood"": true, ""without_help"": false}"
P15,R3,pass,Starter preference was checked across two newly created reflections.,"{""persisted"": true, ""predicted_correctly"": true, ""second_session_checked"": true}"
P15,R4,pass,The prepared journal appeared only after the explicit generation action.,"{""completed"": true, ""no_auto_generation"": true, ""predicted_correctly"": true}"
P15,R5,pass,A source chip was inspected and the source relationship was understood.,"{""source_identified"": true, ""without_help"": true, ""writer_vs_system_distinguished"": true}"
P15,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true, ""no_auto_generation"": true}"
P15,R7,pass,Participant selected a subset and answered the selected-data comprehension check.,"{""predicted_correctly"": true, ""selected_count"": 2, ""selected_only_understood"": true, ""unselected_count"": 1}"
P15,R8,pass,Deletion was checked against the resulting stored state and participant prediction.,"{""critical_misunderstanding"": false, ""delete_independent"": true, ""predicted_correctly"": true}"
P15,R9,pass,Only visible tap/click-and-type controls were needed.,"{""age_45_plus"": true, ""completed"": true, ""tap_type_only"": true, ""without_help"": true}"
P15,R10,pass,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": false, ""notice_explained"": true, ""predicted_correctly"": true}"
P15,R11,not_tested,No privacy/domain reviewer present for this session.,{}
P15,R12,pass,A generated passage was edited and the edited journal was saved.,"{""completed"": true, ""edit_saved_matches"": true, ""without_help"": true}"
P15,R13,pass,Customization actions were observed before generation.,"{""custom_block_added"": true, ""question_edited"": true, ""reordered"": true, ""understood"": true}"
P15,R14,pass,Distinct save/export/save-nothing outcomes were observed across the guided tasks.,"{""export_understood"": true, ""predicted_correctly"": true, ""save_blocks_only_understood"": true, ""save_entry_understood"": true, ""save_nothing_understood"": true}"
P15,R15,critical,"Connecting blocks requires a pointer drag between connector dots. There is no keyboard route to create an arrow, so this requirement is unreachable with assistive technology.","{""connection_created"": false, ""connection_labeled"": false, ""without_help"": false}"
P15,R16,pass,Suggestion buttons are reachable and correctly labelled.,"{""suggestion_accepted"": true, ""suggestion_rejected"": true, ""suggestion_requested"": true, ""suggestion_understood_optional"": true}"
P15,R17,issue,Off-screen blocks are announced but there is no way to move focus to one; relied on the moderator describing the canvas.,"{""block_found"": false, ""duration_ms"": 61000, ""without_help"": false}"
P15,R18,issue,"Capture itself works by keyboard, but focus order jumps to the canvas toolbar before the text area and the Save control is announced only as 'button'.","{""keyboard_only_completed"": true, ""without_help"": false}"
P16,R1,pass,Capture completed within the five-second acceptance threshold without help.,"{""completed"": true, ""duration_ms"": 3100, ""error_count"": 0, ""help_count"": 0, ""without_help"": true}"
P16,R2,issue,Block dismissal was incomplete or the participant requested help.,"{""completed"": false, ""help_count"": 0, ""understood"": false, ""without_help"": true}"
P16,R3,issue,Starter preference was checked across two newly created reflections.,"{""persisted"": true, ""predicted_correctly"": false, ""second_session_checked"": true}"
P16,R4,pass,The prepared journal appeared only after the explicit generation action.,"{""completed"": true, ""no_auto_generation"": true, ""predicted_correctly"": false}"
P16,R5,issue,A source chip was inspected and the source relationship was understood.,"{""source_identified"": false, ""without_help"": true, ""writer_vs_system_distinguished"": false}"
P16,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true, ""no_auto_generation"": true}"
P16,R7,issue,Participant selected a subset and answered the selected-data comprehension check.,"{""predicted_correctly"": false, ""selected_count"": 1, ""selected_only_understood"": false, ""unselected_count"": 0}"
P16,R8,critical,The participant showed a critical misunderstanding of the deletion scope.,"{""critical_misunderstanding"": true, ""delete_independent"": true, ""predicted_correctly"": false}"
P16,R9,pass,Only visible tap/click-and-type controls were needed.,"{""age_45_plus"": false, ""completed"": true, ""tap_type_only"": true, ""without_help"": true}"
P16,R10,critical,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": true, ""notice_explained"": false, ""predicted_correctly"": false}"
P16,R11,not_tested,No privacy/domain reviewer present for this session.,{}
P16,R12,issue,A generated passage was edited and the edited journal was saved.,"{""completed"": true, ""edit_saved_matches"": false, ""without_help"": true}"
P16,R13,issue,Customization actions were observed before generation.,"{""custom_block_added"": false, ""question_edited"": false, ""reordered"": false, ""understood"": false}"
P16,R14,issue,Distinct save/export/save-nothing outcomes were observed across the guided tasks.,"{""export_understood"": false, ""predicted_correctly"": false, ""save_blocks_only_understood"": false, ""save_entry_understood"": true, ""save_nothing_understood"": false}"
P16,R15,issue,"Dragged one arrow, left the default relationship, moved on without looking at it.","{""connection_created"": true, ""connection_labeled"": false, ""without_help"": true}"
P16,R16,issue,Accepted the first suggestion without reading it and assumed the app wanted it added.,"{""suggestion_accepted"": true, ""suggestion_rejected"": false, ""suggestion_requested"": true, ""suggestion_understood_optional"": false}"
P16,R17,pass,Found the block quickly.,"{""block_found"": true, ""duration_ms"": 6800, ""without_help"": true}"
P16,R18,issue,Reached for the mouse immediately and declined to retry with the keyboard.,"{""keyboard_only_completed"": false, ""without_help"": true}"
P17,R1,issue,Capture exceeded the five-second acceptance threshold.,"{""completed"": true, ""duration_ms"": 22800, ""error_count"": 2, ""help_count"": 2, ""without_help"": false}"
P17,R2,issue,Block dismissal was incomplete or the participant requested help.,"{""completed"": false, ""help_count"": 4, ""understood"": false, ""without_help"": false}"
P17,R3,issue,Starter preference was checked across two newly created reflections.,"{""persisted"": false, ""predicted_correctly"": false, ""second_session_checked"": true}"
P17,R9,pass,Only visible tap/click-and-type controls were needed.,"{""age_45_plus"": true, ""completed"": true, ""tap_type_only"": true, ""without_help"": false}"
P17,R11,not_tested,Session ended before the governance review.,{}
P17,R13,issue,Customization actions were observed before generation.,"{""custom_block_added"": false, ""question_edited"": false, ""reordered"": false, ""understood"": false}"
P18,R1,issue,Capture exceeded the five-second acceptance threshold.,"{""completed"": true, ""duration_ms"": 7400, ""error_count"": 0, ""help_count"": 0, ""without_help"": true}"
P18,R2,pass,Direct block dismissal was observed inside the entry screen without a help request.,"{""completed"": true, ""help_count"": 0, ""understood"": true, ""without_help"": true}"
P18,R3,pass,Starter preference was checked across two newly created reflections.,"{""persisted"": true, ""predicted_correctly"": true, ""second_session_checked"": true}"
P18,R4,pass,The prepared journal appeared only after the explicit generation action.,"{""completed"": true, ""no_auto_generation"": true, ""predicted_correctly"": true}"
P18,R5,pass,A source chip was inspected and the source relationship was understood.,"{""source_identified"": true, ""without_help"": true, ""writer_vs_system_distinguished"": true}"
P18,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true, ""no_auto_generation"": true}"
P18,R7,pass,Participant selected a subset and answered the selected-data comprehension check.,"{""predicted_correctly"": true, ""selected_count"": 2, ""selected_only_understood"": true, ""unselected_count"": 1}"
P18,R8,pass,Deletion was checked against the resulting stored state and participant prediction.,"{""critical_misunderstanding"": false, ""delete_independent"": true, ""predicted_correctly"": true}"
P18,R9,pass,Only visible tap/click-and-type controls were needed.,"{""age_45_plus"": false, ""completed"": true, ""tap_type_only"": true, ""without_help"": true}"
P18,R10,critical,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": true, ""notice_explained"": false, ""predicted_correctly"": true}"
P18,R11,issue,Reviewer flagged one prompt as clinical-sounding and the notice as unclear about the processor.,"{""reviewer_completed"": true, ""technical_check_passed"": false}"
P18,R12,pass,A generated passage was edited and the edited journal was saved.,"{""completed"": true, ""edit_saved_matches"": true, ""without_help"": true}"
P18,R13,pass,Customization actions were observed before generation.,"{""custom_block_added"": true, ""question_edited"": true, ""reordered"": true, ""understood"": true}"
P18,R14,pass,Distinct save/export/save-nothing outcomes were observed across the guided tasks.,"{""export_understood"": true, ""predicted_correctly"": true, ""save_blocks_only_understood"": true, ""save_entry_understood"": true, ""save_nothing_understood"": true}"
P18,R15,pass,Connected and labelled without help.,"{""connection_created"": true, ""connection_labeled"": true, ""without_help"": true}"
P18,R16,issue,Understood they were optional but could not say why any suggestion had appeared.,"{""suggestion_accepted"": false, ""suggestion_rejected"": true, ""suggestion_requested"": true, ""suggestion_understood_optional"": true}"
P18,R17,pass,Used Fit after a short search.,"{""block_found"": true, ""duration_ms"": 12400, ""without_help"": true}"
P18,R18,pass,Completed capture by keyboard.,"{""keyboard_only_completed"": true, ""without_help"": true}"
